PuzzleId,FEN,Moves,Rating,Themes
0Pmuk,r1q2k1r/1p3pp1/p1pp1n1p/4pNB1/2P1P1n1/2NP2P1/PP3bK1/1R1Q3R b - - 5 19,c8d8 g5f6 g4f6 g2f2,1382,advantage middlegame short
0C6gF,rnb2r1k/ppp2pp1/8/q3P1B1/4BK2/3Q1N2/1PP1Pb1P/3R3R w - - 0 18,f3d4 f7f6 e5f6 g7f6,1797,advantage master middlegame short
0NirP,8/4B3/R4pk1/8/6pp/P4r2/7K/8 w - - 0 60,h2g2 h4h3 g2h2 f3f2,1265,crushing endgame short
0Oh0c,r2q1rk1/pp3pp1/5b1p/3pn3/6b1/1NP1PN2/PPQ3PP/1BR2RK1 b - - 2 17,e5f3 g2f3 g7g6 f3g4,1136,advantage middlegame short
092fX,r2qk2r/pp2p1bp/1n1p2p1/3Pnp2/2PQ4/2N4P/PP3PP1/R1B1KB1R w KQkq - 2 13,f2f4 e5f3 g2f3 g7d4,1207,crushing discoveredAttack master middlegame short
0Muhk,8/1p1n3k/1p2p3/7p/3pN3/1P3P1q/P1P2R2/R5K1 b - - 1 32,d7e5 e4g5 h7g7 g5h3,1352,crushing endgame fork short
0AGBG,1r1r2k1/4Rppp/b1q5/p1pp3Q/P2PnP2/1PP5/6PP/RNB4K b - - 2 17,c5d4 h5f7 g8h8 f7g7,1099,kingsideAttack mate mateIn2 middlegame short
0QRII,3r4/4Rp1p/6kP/1p1r1PP1/p5K1/8/P7/4R3 b - - 0 40,d5f5 e1e6 f5f6 e6f6,1754,endgame mate mateIn2 rookEndgame short
0IORH,4k3/5R2/1q2Bp1p/p4P2/8/4P1P1/5K1P/8 w - - 0 39,f7f6 b6b2 f2f3 b2f6,1193,crushing endgame fork short
09TAi,rn1Q1b1r/1qN2kpp/p7/1p4B1/4p3/P7/1PP2PPP/R5K1 b - - 3 17,a8a7 d8e8 f7g8 e8e6,1436,mate mateIn2 middlegame short
07HLm,1q4k1/n3bpp1/P1n1p2p/2NpPb2/Q2P1N2/2P1BP2/1r4PP/R4BK1 w - - 7 37,c5b7 f5c2 a4a2 b2a2,1640,advantage master middlegame short trappedPiece
00rva,r2qkb1r/pQpbpppp/2n2n2/1N6/2pP4/8/PP2PPPP/R1B1KBNR b KQkq - 2 7,a8b8 b5c7 d8c7 b7c7,1192,crushing opening short
0ChEp,1r1qk2r/5ppp/p1n1p3/3nP3/1bQP4/2N2N2/3B1PPP/R3KR2 b Qk - 6 16,a6a5 c4c6 d8d7 c6d7,1152,advantage hangingPiece middlegame short
0NQ0c,8/8/5qpk/p4p1p/2pRbb1P/2P5/P3Q1P1/4B2K w - - 4 46,e1d2 f6h4 h1g1 h4h2,1125,crushing endgame short
0XICJ,2rr2k1/p3bppp/1pp5/6q1/P1PPQ1b1/3B4/1B3PPP/1R1R2K1 b - - 4 20,g4d1 e4h7 g8f8 h7h8,1025,kingsideAttack mate mateIn2 middlegame short
0F0ax,4rb2/pk4p1/1pp1Np1r/2P4p/8/1P6/P3R1PP/4R1K1 b - - 1 31,f8c5 e6c5 b6c5 e2e8,1064,crushing discoveredAttack endgame short
0O6xa,2k5/pbpp4/8/3Pq1P1/2P1p2p/4Br1P/QP3PR1/7K b - - 10 33,f3h3 h1g1 h3e3 f2e3,1296,advantage endgame short
0DyZj,r1bNR3/5pbk/p5pp/1pp5/8/2NB4/PPn2PPP/6K1 w - - 2 21,d3c2 c8d7 e8e7 a8d8,1620,advantage discoveredAttack middlegame short
0Bbuq,8/5k2/2p2p2/1bQp2p1/3P2P1/7P/4r1K1/8 w - - 4 48,g2f1 e2c2 f1e1 c2c5,1037,crushing discoveredAttack discoveredCheck endgame short
099dv,7r/k1pb1pr1/P7/2pp1p2/4pP2/1P2P1pP/2PPN1K1/R4R2 w - - 2 32,e2g3 h8g8 g2h2 g7g3,1612,advantage endgame quietMove short
0Aehj,5bk1/8/6Pp/4Q1n1/3Pp2N/2P3P1/PP3qPK/8 w - - 4 38,h4f5 g5f3 h2h3 f3e5,1015,crushing endgame pin short
00XPO,r2q1r1k/1pp3p1/1b2b2p/3n4/pP6/P1P2N1P/1BB2PP1/R2QK2R w KQ - 0 20,d1d3 e6f5 e1c1 f5d3,1767,crushing middlegame short
0OB89,8/8/7P/6p1/8/6k1/r7/5RK1 b - - 7 71,a2h2 f1f3 g3f3 g1h2,1273,crushing deflection endgame master rookEndgame short
0K5vF,4R3/1p3pk1/p1p4p/2bp4/8/7P/1P3PPK/8 w - - 2 37,e8b8 c5d6 g2g3 d6b8,954,crushing endgame fork short
0C7LE,2r3k1/3qn1p1/1p2pp1p/pP1n4/P1NP3P/4NQP1/5P2/3R2K1 b - - 2 36,d5e3 c4b6 d7c7 b6c8,1840,advantage fork master middlegame short
0XEM4,r6r/1p3pkB/p5p1/3pPbN1/3q2PQ/P7/1P5P/R4R1K w - - 1 23,g5e6 f5e6 h4f6 g7h7,1810,crushing hangingPiece middlegame short
03tRW,r2q1rk1/pppnbp2/3p1n1B/3Pp3/4P1pP/2N2B2/PPPQ1PP1/R4RK1 b - - 0 12,g4f3 d2g5 g8h7 g5g7,1176,kingsideAttack mate mateIn2 middlegame short
0EkpK,2r1q3/1kp2R2/ppnp3B/3N1Q2/3P4/1P2PPP1/P1K5/8 w - - 1 40,e3e4 c6d4 c2b1 d4f5,1025,advantage fork middlegame short
0Ib8u,2k4r/ppp5/1qn2p2/4rp2/2QP1b2/1NPK1P1P/PPN1p1P1/R6R w - - 6 22,d4e5 c6e5 d3e2 e5c4,1350,crushing fork middlegame short
004mT,5Q2/8/1b1kp1p1/5p2/3p4/5qPK/7P/8 b - - 1 51,d6c6 f8a8 c6d6 a8f3,1331,advantage endgame short skewer
06ZS7,4r1k1/2q2pp1/1p1n2r1/p1p1p2R/2P1P3/2PP2BP/2P1Q1PK/1R6 w - - 14 35,h5e5 g6g3 e5e8 d6e8,1381,advantage master middlegame short
0EnfP,4R3/3r3k/2N1p3/pP1n4/3P1P2/P6K/8/8 w - - 2 43,h3g4 d5f6 g4f3 f6e8,1451,advantage endgame fork master short
0BfYd,r2qkbnr/ppp2p1p/3p4/4N1pb/2BnPp2/2NP3P/PPP3P1/R1BQ1RK1 b kq - 4 9,h5d1 c4f7 e8e7 c3d5,1310,attackingF2F7 mate mateIn2 middlegame short
0Ojy4,r5rk/pp2bp1n/3qb2Q/2p1NN2/3p4/3P3P/PPP2PP1/R3R1K1 b - - 8 20,d6c7 e5f7 e6f7 e1e7,1720,crushing discoveredAttack kingsideAttack middlegame short
0Zg4N,1k1B3r/1p6/p2N2p1/8/QP1n4/2q4P/P5P1/5RK1 w - - 0 30,d8f6 d4e2 g1f2 c3f6,1656,advantage discoveredAttack interference middlegame short
0B09a,3q1rk1/p2p4/1p2N1p1/n3P2p/8/2r1b2Q/P4PPP/R2R2K1 w - - 0 23,e6d8 e3f2 g1h1 c3h3,1141,advantage discoveredAttack kingsideAttack middlegame short
08r0d,r2qk2r/pp2ppbp/3p1np1/5b2/3P4/2NB1NP1/PPPQ1PP1/2KR3R b kq - 4 12,d8d7 d3b5 d7b5 c3b5,1243,crushing middlegame pin short
0Z9ds,r5k1/2qn1pbp/1pp3p1/3p3r/1P1B4/P1N1P1P1/2Q2P1P/R4RK1 w - - 1 21,c3d5 h5d5 d4g7 g8g7,1487,advantage hangingPiece middlegame short
0akQr,8/1p4pk/1p5p/4r2q/P5n1/2PP1RP1/2P3K1/5RQ1 w - - 7 32,d3d4 e5e2 f1f2 e2f2,1602,crushing endgame short
0Sfn6,6k1/B2R2p1/3b3p/2p5/4n3/5p1P/P4rP1/4R1K1 w - - 0 31,g2f3 d6h2 g1h1 e4g3,1060,endgame mate mateIn2 short
0XPcH,2b2r2/2q3k1/4rbp1/p1pRp2p/2Q3pP/1P4P1/PB2PP2/3R2K1 b - - 1 25,c8b7 d5d7 e6e7 d7c7,1035,advantage fork middlegame short
0ZexG,1r1R3k/p5p1/7p/5r2/2Q5/7P/Pq3PP1/3R2K1 b - - 1 27,b8d8 d1d8 h8h7 c4g8,1566,crushing endgame short
0Ox5s,6k1/6p1/7p/2P5/4Q3/3K4/1q5P/8 b - - 2 42,b2b5 e4c4 b5c4 d3c4,974,crushing endgame queenEndgame short
